
4/23/2012 1:52:28 PM , THREAD-7032, message : PricingMonitor.PriceMonitoring started
4/23/2012 1:54:28 PM , THREAD-11088, message : PricingMonitor.PriceMonitoring started
4/23/2012 1:54:28 PM , THREAD-7032, message : PricingMonitor.PriceMonitoring started
4/23/2012 1:54:36 PM , THREAD-7032, message : PricingMonitor.PriceMonitoring finished
4/23/2012 1:54:37 PM , THREAD-11088, message : PricingMonitor.PriceMonitoring finished
4/23/2012 2:07:59 PM , THREAD-11088, message : PricingMonitor.PriceMonitoring started
4/23/2012 2:09:17 PM , THREAD-11088, message : PricingMonitor.PriceMonitoring finished
4/23/2012 2:09:28 PM , THREAD-7032, message : PricingMonitor.PriceMonitoring started
4/23/2012 2:13:37 PM , THREAD-7032, message : PricingMonitor.PriceMonitoring finished
4/23/2012 2:14:37 PM , THREAD-7032, message : PricingMonitor.PriceMonitoring started
4/23/2012 2:15:21 PM , THREAD-7032, message : PricingMonitor.PriceMonitoring finished
4/23/2012 2:16:00 PM , THREAD-11088, message : PricingMonitor.PriceMonitoring started
4/23/2012 2:16:44 PM , THREAD-11088, message : PricingMonitor.PriceMonitoring finished
4/23/2012 2:18:45 PM , THREAD-11088, message : PricingMonitor.PriceMonitoring started
4/23/2012 2:20:28 PM , THREAD-11088, message : PricingMonitor.PriceMonitoring finished
4/23/2012 2:46:13 PM , THREAD-7152, message : PricingMonitor.PriceMonitoring started
4/23/2012 2:48:09 PM , THREAD-7152, message : PricingMonitor.PriceMonitoring finished
4/23/2012 2:53:02 PM , THREAD-7152, message : PricingMonitor.PriceMonitoring started
4/23/2012 2:54:36 PM , THREAD-7152, message : PricingMonitor.PriceMonitoring finished
4/23/2012 2:55:41 PM , THREAD-7152, message : PricingMonitor.PriceMonitoring started
4/23/2012 2:56:08 PM , THREAD-7152, message : PricingMonitor.PriceMonitoring finished
