
12/10/2008 2:50:26 PM , THREAD-1484, Player : MTV Poland
12/10/2008 2:55:19 PM , THREAD-1272, Player : MTV Poland
12/10/2008 3:17:39 PM , THREAD-1484, Player : OrangeVOD
12/10/2008 3:19:42 PM , THREAD-1484, Player : OrangeVOD
12/10/2008 3:19:50 PM , THREAD-1484, Player : OrangeVOD
12/10/2008 3:22:29 PM , THREAD-5964, Player : OrangeVOD
12/10/2008 3:27:30 PM , THREAD-5964, Player : OrangeVOD
12/10/2008 7:54:44 PM , THREAD-1484, Player : OrangeVOD
12/10/2008 7:57:27 PM , THREAD-7816, Player : OrangeVOD
12/10/2008 7:58:08 PM , THREAD-7816, Player : OrangeVOD
12/10/2008 7:58:23 PM , THREAD-1484, Player : OrangeVOD
